"Aircraft: Airline/Operator","Aircraft: Make/Model","Aircraft: Type","Airport: Name","Altitude bin","Conditions: Precipitation","Conditions: Sky","Effect: Impact to flight","Effect: Indicated Damage","Effect: Other","FlightDate","Number of human fatalities","Number of people injured","Origin State","Remarks","When: Phase of flight","When: Time of day","Wildlife: Number struck","Wildlife: Size","Wildlife: Species","Aircraft: Flight Number","Aircraft: Number of engines?","Cost: Other (inflation adj)","Cost: Repair (inflation adj)","Cost: Total $","Feet above ground","Miles from airport","Number of Records","Record ID","Speed (IAS) in knots"
"ZANTOP INTL AIRLINES","MD-11","Airplane","KUNSAN","> 1000 ft","None","Some Cloud","Other","Caused damage","PILOT FLEW MANUALLY AT FIRST",11/7/2000 0:00,,,"N/A","FLEW THRU LRG FLOCK OF BIRDS. OVER 40 STRIKES. LRG BANG FOLLOWED BY BURNING SMELL. INGESTION IN #1 AND #3.  6"" BY 6"" DENT IN BELLY NEAR RIGHT PACK SCOOP. LT & RT LDG LITES DESTROYED, 6"" BY 6"" DENT IN #1 ENG COWL LE & 6"" BY 6"" DENT IN LE OF #2 ENG. MILITAR","Climb","Night","11 to 100","Large","Unknown bird - large",,3,0,0,0,"2,000",,1,"204,940",
"WIGGINS AIRWAYS","C-208","Airplane","IGOR I SIKORSKY MEMORIAL","< 1000 ft","Rain","Overcast","None","No damage",,5/2/2000 0:00,,,"Connecticut","FOG.","Landing Roll","Dawn",1,"Medium","Herring gull",,1,0,0,0,0,0,1,"200,778",75
"WESTERN AIR EXPRESS","SA226 TC","Airplane","BOISE AIR TERMINAL/GOWEN FIELD","< 1000 ft","None","No Cloud","None","No damage",,8/21/2000 0:00,,,"Idaho",,"Landing Roll","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"202,447",10
"WESTAIR","C-208","Airplane","SACRAMENTO INTL","Unknown",,,"Precautionary Landing","Caused damage",,1/12/2001 0:00,,,"California","SHORTLY AFTER T/O, BIRD HIT A/C. PILOT RETD TO ARPT FOR INSPN. FOUND DENTED RT NOSE COWLING ABOVE OIL COOLER. REPLACED COWLING.","Climb",,1,"Medium","Unknown bird - medium","8,655",1,0,0,0,,,1,"225,089",
"WESTAIR","C-208","Airplane","SACRAMENTO INTL","Unknown",,,,"Caused damage",,1/11/2001 0:00,,,"California","BIRDSTRIKE ON 7 MI FINAL. DMG REPTD TO RUDDER.","Approach",,1,"Medium","Unknown bird - medium","7,697",1,0,0,0,,,1,"205,401",
"WESTAIR","C-208","Airplane","SACRAMENTO INTL","Unknown",,,,"Caused damage",,1/11/2001 0:00,,,"California","FLT 7655 REPTD A BIRD STRIKE ON 5 MI FINAL. 3"" BY 13"" DENT ON LWR SIDE OF EXHAUST DUCT.","Approach",,1,"Medium","Unknown bird - medium","7,655",1,0,0,0,,,1,"205,402",
"WESTAIR","C-208","Airplane","SACRAMENTO INTL","< 1000 ft",,,"Precautionary Landing","No damage",,1/10/2001 0:00,,,"California","HIT A BIRD ON DEPTR DURING A RT HAND TURN. BIRD GLANCED OFF PROP AND HIT L WING AND STRUT. PILOT RETD W/O INCIDENT. NO DGM REPTD. (DATA ENTRY NOTE: RWY REPTD AS 6 BUT THERE IS NO RWY 6 AT SMF OR SAC)","Climb","Night",1,"Medium","Unknown bird - medium","8,655",1,0,0,0,800,,1,"205,790",
"WESTAIR","C-208","Airplane","SACRAMENTO INTL","< 1000 ft",,,,"No damage",,2/12/2000 0:00,,,"California","HIT A BIRD WHILE EXITING RWY. NO DMG REPTD.","Taxi",,1,"Medium","Unknown bird - medium","8,255",1,0,0,0,0,0,1,"201,774",
"WESTAIR","C-208","Airplane","SACRAMENTO INTL","< 1000 ft",,,,"Caused damage",,1/12/2000 0:00,,,"California","REPTD STRIKING DUCKS ON 500 FT FINAL. NO DMG REPTD. #  DUCKS NOT REPTD, ASSUME 2-10. 1 BIRD HIT L WING AT FRESH AIR INLET DUCT. NO TO DUCT SCREEN & STRUT FAIRING.","Approach",,"2 to 10",,"Ducks","7,656",1,0,0,0,500,,1,"203,734",
"WARBELOWS AIR VENTURES","PA-31 NAVAJO","Airplane","FAIRBANKS INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,7/16/2000 0:00,,,"Alaska","INSPCTD A/C AFTER A REPT OF A POSSIBLE BIRD STRIKE. FOUND NO EVIDENCE.","Take-off run","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"203,336",110
